시도명,연령대,성별,더불어민주당_지지도_pct,자유한국당_지지도_pct
대구,30대,여성,69.0,15.4
대구,40대,남성,68.1,18.6
대구,40대,여성,71.7,16.0
대구,50대,남성,55.2,32.8
대구,50대,여성,58.8,29.2
대구,60대 이상,남성,38.6,48.6
대구,60대 이상,여성,41.8,45.2
대전,20대 이하,남성,55.6,18.8
대전,20대 이하,여성,66.7,12.3
대전,30대,남성,64.4,21.0
대전,30대,여성,69.0,15.4
대전,40대,남성,68.1,18.6
대전,40대,여성,71.7,16.0
대전,50대,남성,55.2,32.8
대전,50대,여성,58.8,29.2
대전,60대 이상,남성,38.6,48.6
대전,60대 이상,여성,41.8,45.2
부산,20대 이하,남성,53.4,25.1
부산,20대 이하,여성,62.1,18.4
부산,30대,남성,61.2,28.3
부산,30대,여성,65.4,22.1
부산,40대,남성,63.5,26.2
부산,40대,여성,68.2,21.5
부산,50대,남성,48.7,42.1
부산,50대,여성,51.3,38.4
부산,60대 이상,남성,31.2,59.5
부산,60대 이상,여성,34.5,55.2
서울,20대 이하,남성,50.1,15.2
서울,20대 이하,여성,65.3,8.4
서울,30대,남성,63.2,17.1
서울,30대,여성,68.1,11.2
서울,40대,남성,67.5,14.3
서울,40대,여성,69.8,12.1
서울,50대,남성,51.2,28.5
서울,50대,여성,54.3,25.4
서울,60대 이상,남성,32.1,48.7
서울,60대 이상,여성,34.5,45.2
세종특별자치시,20대 이하,남성,55.6,18.8
세종특별자치시,20대 이하,여성,66.7,12.3
세종특별자치시,30대,남성,64.4,21.0
세종특별자치시,30대,여성,69.0,15.4
세종특별자치시,40대,남성,68.1,18.6
세종특별자치시,40대,여성,71.7,16.0
세종특별자치시,50대,남성,55.2,32.8
세종특별자치시,50대,여성,58.8,29.2
세종특별자치시,60대 이상,남성,38.6,48.6
세종특별자치시,60대 이상,여성,41.8,45.2
울산,20대 이하,남성,55.6,18.8
울산,20대 이하,여성,66.7,12.3
울산,30대,남성,64.4,21.0
울산,30대,여성,69.0,15.4
울산,40대,남성,68.1,18.6
울산,40대,여성,71.7,16.0
울산,50대,남성,55.2,32.8
울산,50대,여성,58.8,29.2
울산,60대 이상,남성,38.6,48.6
울산,60대 이상,여성,41.8,45.2
인천,20대 이하,남성,55.2,18.4
인천,20대 이하,여성,68.3,11.2
인천,30대,남성,65.1,20.1
인천,30대,여성,69.4,14.5
인천,40대,남성,69.2,17.3
인천,40대,여성,72.1,15.2
인천,50대,남성,54.3,33.5
인천,50대,여성,58.2,29.4
인천,60대 이상,남성,35.4,52.1
인천,60대 이상,여성,38.2,48.5
전남,20대 이하,남성,55.6,18.8
전남,20대 이하,여성,66.7,12.3
전남,30대,남성,64.4,21.0
전남,30대,여성,69.0,15.4
전남,40대,남성,68.1,18.6
전남,40대,여성,71.7,16.0
전남,50대,남성,55.2,32.8
전남,50대,여성,58.8,29.2
전남,60대 이상,남성,38.6,48.6
전남,60대 이상,여성,41.8,45.2
전북특별자치도,20대 이하,남성,68.5,5.2
전북특별자치도,20대 이하,여성,75.2,3.1
전북특별자치도,30대,남성,72.1,6.4
전북특별자치도,30대,여성,78.4,4.2
전북특별자치도,40대,남성,76.5,5.1
전북특별자치도,40대,여성,81.2,3.5
전북특별자치도,50대,남성,74.2,8.5
전북특별자치도,50대,여성,79.1,6.2
전북특별자치도,60대 이상,남성,65.3,12.4
전북특별자치도,60대 이상,여성,69.5,9.8
제주특별자치도,20대 이하,남성,55.6,18.8
제주특별자치도,20대 이하,여성,66.7,12.3
제주특별자치도,30대,남성,64.4,21.0
제주특별자치도,30대,여성,69.0,15.4
제주특별자치도,40대,남성,68.1,18.6
제주특별자치도,40대,여성,71.7,16.0
제주특별자치도,50대,남성,55.2,32.8
제주특별자치도,50대,여성,58.8,29.2
제주특별자치도,60대 이상,남성,38.6,48.6
제주특별자치도,60대 이상,여성,41.8,45.2
충남,20대 이하,남성,57.1,19.2
충남,20대 이하,여성,68.2,12.1
충남,30대,남성,65.3,21.4
충남,30대,여성,70.1,15.3
충남,40대,남성,69.4,18.5
충남,40대,여성,73.2,16.2
충남,50대,남성,56.2,34.1
충남,50대,여성,59.4,30.5
충남,60대 이상,남성,38.1,51.2
충남,60대 이상,여성,41.2,48.3
충북,20대 이하,남성,55.6,18.8
충북,20대 이하,여성,66.7,12.3
충북,30대,남성,64.4,21.0
충북,30대,여성,69.0,15.4
충북,40대,남성,68.1,18.6
충북,40대,여성,71.7,16.0
충북,50대,남성,55.2,32.8
충북,50대,여성,58.8,29.2
충북,60대 이상,남성,38.6,48.6
충북,60대 이상,여성,41.8,45.2
